timestamp,probe_rtt,sosd_comm_rank,queue_depth_local,queue_depth_cloud,queue_depth_db_tasks,queue_depth_db_snaps,thread_local_wakeup,thread_cloud_wakeup,thread_db_wakeup,feedback_checkin_messages,socket_messages,socket_bytes_recv,socket_bytes_sent,mpi_sends,mpi_bytes,db_transactions,db_insert_announce,db_insert_announce_nop,db_insert_publish,db_insert_publish_nop,db_insert_val_snaps,db_insert_val_snaps_nop,buffer_creates,buffer_bytes_on_heap,buffer_destroys,pipe_creates,pub_handles
1465232383.161218,0.000187,0,           0,           0,           1,      100000,1605,1054333,1028910,8,1662,36901216,48792,189,36900580,4,4,0,4,8,3,0,0,0,0,0,4
1465232383.261501,0.000211,0,           0,           0,           0,           0,1605,1056087,1028911,8,1663,36901240,49016,189,36900580,4,4,0,4,8,4,0,0,0,0,0,4
1465232383.361676,0.000101,0,          32,           2,           5,        8030,1640,1057489,1028911,8,1732,38445176,50872,194,37431280,4,4,0,4,8,4,0,0,0,0,0,4
1465232383.462134,0.000388,0,         101,           2,           5,       66052,1870,1057519,1028911,8,2032,45341568,58272,224,42635728,4,4,0,4,8,4,0,0,0,0,0,4
1465232383.562372,0.000167,0,           0,           0,           5,      100000,2005,1058283,1028911,8,2066,46112512,59288,239,46111980,4,4,0,4,8,4,0,0,0,0,0,4
1465232383.662609,0.000171,0,           0,           0,           5,      100000,2005,1060029,1028911,8,2067,46112536,59512,239,46111980,5,4,0,4,8,4,0,0,0,0,0,4
1465232383.762805,0.000156,0,           0,           0,           5,      100000,2005,1061792,1028911,8,2068,46112560,59736,239,46111980,5,4,0,4,8,4,0,0,0,0,0,4
1465232383.863060,0.000200,0,           0,           0,           0,           0,2005,1063558,1028912,8,2069,46112584,59960,239,46111980,5,4,0,4,9,5,0,0,0,0,0,4
1465232383.963338,0.000204,0,           0,           0,           1,        1500,2011,1065238,1028912,8,2077,46262808,60352,240,46124016,5,4,0,4,9,5,0,0,0,0,0,4
1465232384.063567,0.000153,0,         143,           6,           2,       63500,2261,1065268,1028912,8,2471,55323832,70008,270,51628864,5,4,0,4,9,5,0,0,0,0,0,4
1465232384.163811,0.000172,0,           0,           0,           2,      100000,2405,1066192,1028912,8,2472,55323856,70232,285,55323364,5,4,0,4,9,5,0,0,0,0,0,4
1465232384.264082,0.000186,0,           0,           0,           2,      100000,2405,1067950,1028912,8,2473,55323880,70456,285,55323364,5,4,0,4,9,5,0,0,0,0,0,4
1465232384.364310,0.000158,0,           0,           0,           2,      100000,2405,1069673,1028912,8,2474,55323904,70680,285,55323364,6,4,0,4,12,5,0,0,0,0,0,4
1465232384.464576,0.000194,0,           0,           0,           2,      100000,2405,1071407,1028912,8,2475,55323928,70904,285,55323364,6,4,0,4,12,5,0,0,0,0,0,4
1465232384.564758,0.000110,0,          17,           4,           4,        8789,2442,1072717,1028913,8,2531,56579496,72448,290,55934144,6,4,0,4,12,6,0,0,0,0,0,4
1465232384.665142,0.000312,0,          25,           5,           4,       53500,2620,1072765,1028913,8,2718,60840736,77136,319,60137388,6,4,0,4,12,6,0,0,0,0,0,4
1465232384.765382,0.000167,0,           0,           0,           4,      100000,2805,1073145,1028913,8,2878,64535200,81176,342,64534792,6,4,0,4,12,6,0,0,0,0,0,4
1465232384.865580,0.000163,0,           0,           0,           4,      100000,2805,1074872,1028913,8,2879,64535224,81400,342,64534792,6,4,0,4,12,6,0,0,0,0,0,4
1465232384.965844,0.000195,0,           0,           0,           4,      100000,2805,1076614,1028913,8,2880,64535248,81624,342,64534792,6,4,0,4,12,6,0,0,0,0,0,4
1465232385.066108,0.000190,0,           0,           0,           4,      100000,2805,1078353,1028913,12,2885,64535368,82028,342,64534792,7,4,0,4,13,6,0,0,0,0,0,4
1465232385.166344,0.000155,0,           0,           0,           4,      100000,2805,1080065,1028913,12,2886,64535392,82252,342,64534792,7,4,0,4,13,6,0,0,0,0,0,4
1465232385.266567,0.000150,0,         170,           8,           5,      137000,2953,1080682,1028913,12,3206,71870352,90132,360,67770816,7,4,0,4,13,6,0,0,0,0,0,4
1465232385.366839,0.000195,0,           0,           0,           2,       41500,3205,1080713,1028914,12,3288,73746640,92300,390,73666104,7,4,0,4,14,7,0,0,0,0,0,4
1465232385.467116,0.000206,0,           0,           0,           2,       41500,3205,1082396,1028914,12,3289,73746664,92524,391,73746188,7,4,0,4,14,7,0,0,0,0,0,4
1465232385.567346,0.000193,0,           0,           0,           2,       41500,3205,1084079,1028914,12,3290,73746688,92748,391,73746188,7,4,0,4,14,7,0,0,0,0,0,4
