timestamp,probe_rtt,sosd_comm_rank,queue_depth_local,queue_depth_cloud,queue_depth_db_tasks,queue_depth_db_snaps,thread_local_wakeup,thread_cloud_wakeup,thread_db_wakeup,feedback_checkin_messages,socket_messages,socket_bytes_recv,socket_bytes_sent,mpi_sends,mpi_bytes,db_transactions,db_insert_announce,db_insert_announce_nop,db_insert_publish,db_insert_publish_nop,db_insert_val_snaps,db_insert_val_snaps_nop,buffer_creates,buffer_bytes_on_heap,buffer_destroys,pipe_creates,pub_handles,vm_peak,vm_size
1465317807.567615,0.000192,0,           0,           0,           1,     7238000,48007,542756,490265,54,48333,1105434384,1218062,4666,1105445200,4,6,0,6,12,4,0,0,0,0,0,6,1977436,1784656
1465317807.667901,0.000206,0,           0,           0,           1,     7238000,48007,544455,490265,54,48334,1105434408,1218302,4666,1105445200,4,6,0,6,12,4,0,0,0,0,0,6,1977436,1784656
1465317807.768179,0.000201,0,           0,           0,           1,     7238000,48007,546155,490265,54,48335,1105434432,1218542,4666,1105445200,4,6,0,6,12,4,0,0,0,0,0,6,1977436,1784656
1465317807.868469,0.000210,0,           0,           0,           1,     7238000,48007,547855,490265,54,48336,1105434456,1218782,4666,1105445200,4,6,0,6,12,4,0,0,0,0,0,6,1977436,1784656
1465317807.968821,0.000266,0,           0,           0,           1,     7238000,48007,549571,490265,54,48337,1105434480,1219022,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317808.069072,0.000219,0,           0,           0,           1,     7238000,48007,551314,490265,54,48338,1105434504,1219262,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317808.169348,0.000197,0,           0,           0,           1,     7238000,48007,553076,490265,54,48339,1105434528,1219502,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317808.269657,0.000223,0,           0,           0,           1,     7238000,48007,554837,490265,54,48340,1105434552,1219742,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317808.369939,0.000202,0,           0,           0,           1,     7238000,48007,556527,490265,54,48341,1105434576,1219982,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317808.470219,0.000211,0,           0,           0,           1,     7238000,48007,558237,490265,54,48342,1105434600,1220222,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317808.570499,0.000202,0,           0,           0,           1,     7238000,48007,559997,490265,54,48343,1105434624,1220462,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317808.670792,0.000216,0,           0,           0,           1,     7238000,48007,561759,490265,54,48344,1105434648,1220702,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317808.771087,0.000215,0,           0,           0,           1,     7238000,48007,563519,490265,54,48345,1105434672,1220942,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317808.871369,0.000200,0,           0,           0,           1,     7238000,48007,565279,490265,54,48346,1105434696,1221182,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317808.971718,0.000261,0,           0,           0,           1,     7238000,48007,567039,490265,54,48347,1105434720,1221422,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317809.072029,0.000244,0,           0,           0,           1,     7238000,48007,568744,490265,54,48348,1105434744,1221662,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317809.172333,0.000220,0,           0,           0,           1,     7238000,48007,570503,490265,54,48349,1105434768,1221902,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317809.272587,0.000210,0,           0,           0,           1,     7238000,48007,572259,490265,54,48350,1105434792,1222142,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317809.372873,0.000204,0,           0,           0,           1,     7238000,48007,573965,490265,54,48351,1105434816,1222382,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317809.473126,0.000218,0,           0,           0,           1,     7238000,48007,575695,490265,54,48352,1105434840,1222622,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317809.573454,0.000247,0,           0,           0,           1,     7238000,48007,577437,490265,54,48353,1105434864,1222862,4666,1105445200,5,6,0,6,18,4,0,0,0,0,0,6,1977436,1759248
1465317809.673814,0.000273,0,           0,           0,           0,           0,48007,579202,490266,54,48354,1105434888,1223102,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317809.774138,0.000238,0,           0,           0,           0,           0,48007,580941,490266,54,48355,1105434912,1223342,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317809.874431,0.000206,0,           0,           0,           0,           0,48007,582702,490266,54,48356,1105434936,1223582,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317809.974735,0.000221,0,           0,           0,           0,           0,48007,584465,490266,54,48357,1105434960,1223822,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317810.075063,0.000249,0,           0,           0,           0,           0,48007,586229,490266,54,48358,1105434984,1224062,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317810.175354,0.000212,0,           0,           0,           0,           0,48007,587990,490266,54,48359,1105435008,1224302,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317810.275670,0.000233,0,           0,           0,           0,           0,48007,589754,490266,54,48360,1105435032,1224542,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317810.375949,0.000198,0,           0,           0,           0,           0,48007,591515,490266,54,48361,1105435056,1224782,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317810.476246,0.000207,0,           0,           0,           0,           0,48007,593278,490266,54,48362,1105435080,1225022,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317810.576563,0.000231,0,           0,           0,           0,           0,48007,595041,490266,54,48363,1105435104,1225262,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317810.676837,0.000230,0,           0,           0,           0,           0,48007,596806,490266,54,48364,1105435128,1225502,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317810.777146,0.000229,0,           0,           0,           0,           0,48007,598559,490266,54,48365,1105435152,1225742,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317810.877436,0.000231,0,           0,           0,           0,           0,48007,600308,490266,54,48366,1105435176,1225982,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317810.977706,0.000224,0,           0,           0,           0,           0,48007,602066,490266,54,48367,1105435200,1226222,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317811.077974,0.000227,0,           0,           0,           0,           0,48007,603826,490266,54,48368,1105435224,1226462,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317811.178318,0.000259,0,           0,           0,           0,           0,48007,605556,490266,54,48369,1105435248,1226702,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317811.278674,0.000266,0,           0,           0,           0,           0,48007,607277,490266,54,48370,1105435272,1226942,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317811.378978,0.000220,0,           0,           0,           0,           0,48007,609012,490266,54,48371,1105435296,1227182,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317811.479275,0.000240,0,           0,           0,           0,           0,48007,610752,490266,54,48372,1105435320,1227422,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317811.579594,0.000253,0,           0,           0,           0,           0,48007,612438,490266,54,48373,1105435344,1227662,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317811.679943,0.000259,0,           0,           0,           0,           0,48007,614138,490266,54,48374,1105435368,1227902,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317811.780266,0.000268,0,           0,           0,           0,           0,48007,615829,490266,54,48375,1105435392,1228142,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317811.880494,0.000176,0,           0,           0,           0,           0,48007,617553,490266,54,48376,1105435416,1228382,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317811.980788,0.000214,0,           0,           0,           0,           0,48007,619284,490266,54,48377,1105435440,1228622,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317812.081070,0.000202,0,           0,           0,           0,           0,48007,621047,490266,54,48378,1105435464,1228862,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
